tenant_code,store_name,plan_year,plan_month,shift_date,staff_name,employment_type,work_location,start_time,end_time,break_minutes,notes
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-01,秋元梢,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-01,武根太⼀,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-01,吉⽥瑛⾥,HOURLY,〜,9:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-02,佐々美⾳,HOURLY,〜,17:30,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-02,吉⽥瑛⾥,HOURLY,渋谷,9:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-03,秋元梢,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-03,武根太⼀,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-03,吉⽥瑛⾥,HOURLY,〜,18:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-04,秋元梢,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-04,武根太⼀,MONTHLY,渋谷,14:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-04,内藤加奈⼦,HOURLY,〜,9:00,14:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-05,秋元梢,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-05,武根太⼀,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-05,佐々美⾳,HOURLY,祐天寺,19:00,22:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-05,吉⽥瑛⾥,HOURLY,〜,18:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-06,秋元梢,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-06,武根太⼀,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-06,吉⽥瑛⾥,HOURLY,〜,16:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-07,秋元梢,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-07,武根太⼀,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-07,吉⽥瑛⾥,HOURLY,〜,16:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-08,秋元梢,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-08,武根太⼀,MONTHLY,渋谷,17:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-08,内藤加奈⼦,HOURLY,〜,9:00,17:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-08,吉⽥瑛⾥,HOURLY,〜,9:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-09,秋元梢,MONTHLY,渋谷,17:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-09,内藤加奈⼦,HOURLY,〜,9:00,17:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-10,佐々美⾳,HOURLY,〜,17:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-10,吉⽥瑛⾥,HOURLY,渋谷,9:00,17:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-11,武根太⼀,MONTHLY,渋谷,17:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-11,佐々美⾳,HOURLY,〜,15:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-11,内藤加奈⼦,HOURLY,〜,9:00,17:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-11,吉⽥瑛⾥,HOURLY,〜,9:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-12,秋元梢,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-12,武根太⼀,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-12,吉⽥瑛⾥,HOURLY,〜,11:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-13,秋元梢,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-13,武根太⼀,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-13,佐々美⾳,HOURLY,祐天寺,17:00,22:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-13,吉⽥瑛⾥,HOURLY,〜,16:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-14,秋元梢,MONTHLY,渋谷,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-14,武根太⼀,MONTHLY,〜,9:00,23:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-14,佐々美⾳,HOURLY,〜,12:00,23:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-14,吉⽥瑛⾥,HOURLY,〜,10:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-15,秋元梢,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-15,武根太⼀,MONTHLY,渋谷,15:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-15,内藤加奈⼦,HOURLY,〜,9:00,15:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-16,武根太⼀,MONTHLY,渋谷,17:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-16,内藤加奈⼦,HOURLY,〜,9:00,17:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-16,吉⽥瑛⾥,HOURLY,〜,9:00,20:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-17,佐々美⾳,HOURLY,〜,17:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-17,吉⽥瑛⾥,HOURLY,渋谷,9:00,15:00,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-18,秋元梢,MONTHLY,〜,9:00,23:30,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-18,武根太⼀,MONTHLY,渋谷,9:00,17:00,60,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-18,佐々美⾳,HOURLY,〜,17:00,23:30,0,
STAND_BANH_MI,SHIBUYA,2025,12,2025-12-18,吉⽥瑛⾥,HOURLY,〜,11:00,20:30,0,
