shift_id,year,month,date,staff_id,staff_name,scheduled_start,scheduled_end,actual_start,actual_end,scheduled_hours,actual_hours,break_minutes,overtime_minutes,is_late,is_early_leave,notes
SH20250701_0001,2025,7,1,740,佐藤研,09:00,20:30,09:00,20:33,10.5,10.6,60,3,FALSE,FALSE,
SH20250701_0002,2025,7,1,741,中谷晋,08:00,17:00,08:00,17:01,8.0,8.0,60,1,FALSE,FALSE,
SH20250701_0003,2025,7,1,742,中村栞,11:00,20:00,11:00,20:03,8.0,8.1,60,3,FALSE,FALSE,
SH20250702_0004,2025,7,2,740,佐藤研,12:00,20:30,12:00,20:26,7.5,7.4,60,0,FALSE,FALSE,
SH20250702_0005,2025,7,2,743,会田英明,08:00,17:00,08:00,16:59,8.0,8.0,60,0,FALSE,FALSE,
SH20250702_0006,2025,7,2,741,中谷晋,09:00,20:30,09:00,20:29,10.5,10.5,60,0,FALSE,FALSE,
SH20250703_0007,2025,7,3,740,佐藤研,09:00,20:30,09:00,20:38,10.5,10.6,60,8,FALSE,FALSE,
SH20250703_0008,2025,7,3,743,会田英明,08:00,17:00,08:00,17:01,8.0,8.0,60,1,FALSE,FALSE,
SH20250703_0009,2025,7,3,742,中村栞,11:00,20:00,11:00,20:07,8.0,8.1,60,7,FALSE,FALSE,
SH20250704_0010,2025,7,4,743,会田英明,08:00,17:00,08:00,17:07,8.0,8.1,60,7,FALSE,FALSE,
SH20250704_0011,2025,7,4,741,中谷晋,09:00,20:30,09:00,20:35,10.5,10.6,60,5,FALSE,FALSE,
SH20250704_0012,2025,7,4,742,中村栞,11:00,20:00,11:00,20:07,8.0,8.1,60,7,FALSE,FALSE,
SH20250705_0013,2025,7,5,743,会田英明,08:00,17:00,08:00,17:05,8.0,8.1,60,5,FALSE,FALSE,
SH20250705_0014,2025,7,5,741,中谷晋,09:00,20:30,09:00,20:40,10.5,10.7,60,10,FALSE,FALSE,
SH20250705_0015,2025,7,5,742,中村栞,11:00,20:00,11:00,20:08,8.0,8.1,60,8,FALSE,FALSE,
SH20250706_0016,2025,7,6,740,佐藤研,09:00,20:30,09:00,20:39,10.5,10.7,60,9,FALSE,FALSE,
SH20250706_0017,2025,7,6,741,中谷晋,08:00,17:00,08:00,16:55,8.0,7.9,60,0,FALSE,FALSE,
SH20250706_0018,2025,7,6,742,中村栞,11:00,20:00,11:00,20:01,8.0,8.0,60,1,FALSE,FALSE,
SH20250706_0019,2025,7,6,744,吉田瑛里,09:00,23:30,09:00,23:34,13.5,13.6,60,4,FALSE,FALSE,
SH20250707_0020,2025,7,7,740,佐藤研,12:00,20:30,12:00,20:35,7.5,7.6,60,5,FALSE,FALSE,
SH20250707_0021,2025,7,7,743,会田英明,08:00,17:00,08:00,17:05,8.0,8.1,60,5,FALSE,FALSE,
SH20250707_0022,2025,7,7,744,吉田瑛里,09:00,20:30,09:00,20:26,10.5,10.4,60,0,FALSE,FALSE,
SH20250708_0023,2025,7,8,740,佐藤研,17:00,20:30,17:00,20:32,3.5,3.5,0,2,FALSE,FALSE,
SH20250708_0024,2025,7,8,743,会田英明,08:00,17:00,08:00,17:06,8.0,8.1,60,6,FALSE,FALSE,
SH20250708_0025,2025,7,8,741,中谷晋,09:00,17:00,09:00,16:55,7.0,6.9,60,0,FALSE,FALSE,
SH20250708_0026,2025,7,8,744,吉田瑛里,11:00,20:30,11:00,20:35,8.5,8.6,60,5,FALSE,FALSE,
SH20250709_0027,2025,7,9,740,佐藤研,12:00,20:30,12:00,20:32,7.5,7.5,60,2,FALSE,FALSE,
SH20250709_0028,2025,7,9,743,会田英明,08:00,17:00,08:00,16:55,8.0,7.9,60,0,FALSE,FALSE,
SH20250709_0029,2025,7,9,741,中谷晋,09:00,20:30,09:00,20:28,10.5,10.5,60,0,FALSE,FALSE,
